,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13
US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,7.0,11.0,12.0,14.0,17.0,21.0,22.0,28.0,33.0,43.0,51.0,58.0,70.0,97.0,132.0,191.0,265.0,364.0,463.0,573.0,762.0,1001.0,1325.0,1733.0,2253.0,2886.0,3472.0,4164.0,5249.0,6421.0,7924.0,9316.0,10839.0,12429.0,14199.0,16770.0,18916.0,21144.0,23362.0,25481.0,27294.0,29240.0,31695.0,34304.0,36480.0,38573.0,40533.0,42464.0,44650.0,47198.0,49632.0,52101.0,54255.0,55953.0,57282.0,58748.0,60989.0,63510.0,65832.0,67723.0,69415.0,70535.0,71868.0,74186.0,76550.0,78484.0,80231.0,81719.0,82612.0,83626.0,85253.0,87017.0,88800.0,90481.0,91697.0,92455.0,93627.0,95179.0,96705.0,97922.0,99166.0,100275.0,100897.0,101445.0,102107.0,103625.0,104803.0,105963.0,106926.0,107507.0,108283.0,109351.0,110358.0,111381.0,112295.0,112954.0,113392.0,113911.0,114861.0,115762.0,116633.0,117461.0,118220.0,118528.0,118922.0,119760.0,120504.0,121222.0,121892.0,122496.0,122781.0,123170.0,124017.0,124776.0,125327.0,125944.0,126448.0,126721.0,127098.0,127723.0,128417.0,129144.0,129804.0,130069.0,130357.0,130712.0,131934.0,132797.0,133800.0,134624.0,135314.0,135773.0,136140.0,137066.0,138034.0,138977.0,139907.0,140775.0,141222.0,141736.0,142843.0,144059.0,145153.0,146285.0,147184.0,147656.0,148776.0,150150.0,151582.0,152791.0,154034.0,155149.0,155552.0,156082.0,157460.0,158836.0,160089.0,161331.0,162408.0,162919.0,163446.0,164510.0,166015.0,167085.0,168423.0,169457.0,170028.0,170474.0,171799.0,173152.0,174231.0,175336.0,176318.0,176768.0,177210.0,178449.0,179674.0,180785.0,181756.0,182714.0,183024.0,183597.0,184664.0,185720.0,186790.0,187755.0,188538.0,188941.0,189208.0,189653.0,190859.0,191766.0,192979.0,193693.0,194071.0
India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,4.0,7.0,10.0,10.0,12.0,20.0,20.0,24.0,27.0,32.0,35.0,58.0,72.0,72.0,86.0,99.0,136.0,150.0,178.0,226.0,246.0,288.0,331.0,358.0,393.0,405.0,448.0,486.0,521.0,559.0,592.0,645.0,681.0,721.0,780.0,825.0,881.0,939.0,1008.0,1079.0,1154.0,1223.0,1323.0,1391.0,1566.0,1693.0,1785.0,1889.0,1985.0,2101.0,2212.0,2294.0,2415.0,2551.0,2649.0,2753.0,2871.0,3025.0,3156.0,3302.0,3434.0,3584.0,3726.0,3868.0,4024.0,4172.0,4344.0,4534.0,4711.0,4980.0,5185.0,5408.0,5608.0,5829.0,6088.0,6363.0,6649.0,6946.0,7207.0,7473.0,7750.0,8102.0,8498.0,8884.0,9195.0,9520.0,9900.0,11903.0,12237.0,12573.0,12948.0,13254.0,13699.0,14011.0,14476.0,14894.0,15301.0,15685.0,16095.0,16475.0,16893.0,17400.0,17834.0,18213.0,18655.0,19268.0,19693.0,20159.0,20642.0,21129.0,21604.0,22123.0,22673.0,23174.0,23727.0,24309.0,24914.0,25602.0,26273.0,26816.0,27497.0,28082.0,28732.0,29861.0,30601.0,31358.0,32060.0,32771.0,33408.0,34193.0,34955.0,35718.0,36511.0,37364.0,38135.0,38938.0,39795.0,40699.0,41585.0,42518.0,43379.0,44386.0,45257.0,46091.0,47033.0,48040.0,49036.0,49980.0,50921.0,51797.0,52888.0,53866.0,54849.0,55794.0,56706.0,57542.0,58390.0,59357.0,60472.0,61529.0,62550.0,63498.0,64469.0,65288.0,66333.0,67376.0,68472.0,69561.0,70626.0,71642.0,72775.0,73890.0,75062.0,76271.0,77472.0,78586.0,78586.0
Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,11.0,15.0,25.0,34.0,46.0,59.0,77.0,92.0,111.0,136.0,159.0,201.0,240.0,324.0,359.0,445.0,486.0,564.0,686.0,819.0,950.0,1057.0,1124.0,1223.0,1328.0,1532.0,1736.0,1924.0,2141.0,2354.0,2462.0,2587.0,2741.0,2906.0,3331.0,3704.0,4057.0,4286.0,4603.0,5083.0,5513.0,6006.0,6412.0,6761.0,7051.0,7367.0,7938.0,8588.0,9190.0,10017.0,10656.0,11123.0,11653.0,12461.0,13240.0,13999.0,14962.0,15662.0,16118.0,16853.0,17983.0,18859.0,20047.0,21048.0,22013.0,22666.0,23473.0,24512.0,25598.0,26754.0,27878.0,28834.0,29314.0,29937.0,31199.0,32548.0,34021.0,35026.0,35930.0,36455.0,37134.0,38406.0,39680.0,40919.0,41828.0,42720.0,43332.0,43959.0,45241.0,46510.0,47748.0,48954.0,49976.0,50591.0,51271.0,52645.0,53830.0,54971.0,55961.0,57070.0,57622.0,58314.0,59594.0,60632.0,61884.0,63174.0,64265.0,64867.0,65487.0,66741.0,67964.0,69184.0,70398.0,71469.0,72100.0,72833.0,74133.0,75366.0,76688.0,77851.0,78772.0,79488.0,80120.0,81487.0,82771.0,84082.0,85238.0,86449.0,87004.0,87618.0,88539.0,90134.0,91263.0,92475.0,93563.0,94104.0,94665.0,95819.0,97256.0,98493.0,99572.0,100477.0,101049.0,101752.0,103026.0,104201.0,105463.0,106523.0,107232.0,107852.0,108536.0,109888.0,111100.0,112304.0,113358.0,114250.0,114744.0,115309.0,116580.0,117665.0,118649.0,119504.0,120262.0,120828.0,121381.0,122596.0,123780.0,124614.0,125502.0,126203.0,126650.0,126960.0,127464.0,128539.0,129522.0,130396.0,131210.0,131625.0
Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,8.0,9.0,17.0,24.0,30.0,34.0,43.0,45.0,47.0,58.0,63.0,76.0,94.0,106.0,130.0,148.0,170.0,198.0,232.0,273.0,313.0,361.0,405.0,456.0,513.0,555.0,615.0,681.0,747.0,794.0,867.0,972.0,1073.0,1169.0,1222.0,1280.0,1356.0,1451.0,1537.0,1625.0,1723.0,1827.0,1915.0,2009.0,2116.0,2212.0,2305.0,2418.0,2537.0,2631.0,2722.0,2837.0,2972.0,3099.0,3249.0,3388.0,3541.0,3633.0,3807.0,3968.0,4142.0,4374.0,4555.0,4693.0,4849.0,5031.0,5208.0,5376.0,5520.0,5717.0,5851.0,5963.0,6134.0,6350.0,6522.0,6705.0,6819.0,6938.0,7081.0,7274.0,7468.0,7650.0,7831.0,7992.0,8101.0,8196.0,8349.0,8503.0,8594.0,8770.0,8958.0,9060.0,9152.0,9306.0,9521.0,9668.0,9844.0,10011.0,10145.0,10280.0,10478.0,10650.0,10826.0,11000.0,11188.0,11318.0,11422.0,11597.0,11753.0,11920.0,12106.0,12228.0,12323.0,12408.0,12561.0,12726.0,12873.0,13026.0,13172.0,13249.0,13334.0,13483.0,13650.0,13778.0,13939.0,14034.0,14104.0,14183.0,14327.0,14465.0,14579.0,14698.0,14827.0,14903.0,14973.0,15103.0,15231.0,15353.0,15467.0,15585.0,15653.0,15707.0,15836.0,15951.0,16058.0,16148.0,16268.0,16341.0,16406.0,16524.0,16638.0,16758.0,16866.0,16977.0,17045.0,17128.0,17250.0,17365.0,17479.0,17598.0,17707.0,17768.0,17818.0,17939.0,18080.0,18207.0,18309.0,18426.0,18517.0
Peru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,5.0,5.0,7.0,9.0,9.0,11.0,16.0,18.0,24.0,30.0,38.0,55.0,61.0,73.0,83.0,92.0,107.0,121.0,138.0,169.0,181.0,193.0,216.0,230.0,254.0,274.0,300.0,348.0,400.0,445.0,484.0,530.0,572.0,634.0,700.0,728.0,782.0,854.0,943.0,1051.0,1124.0,1200.0,1286.0,1344.0,1444.0,1533.0,1627.0,1714.0,1814.0,1889.0,1961.0,2057.0,2169.0,2267.0,2392.0,2523.0,2648.0,2789.0,2914.0,3024.0,3148.0,3244.0,3373.0,3456.0,3629.0,3788.0,3983.0,4099.0,4230.0,4371.0,4506.0,4634.0,4767.0,4894.0,5031.0,5162.0,5301.0,5465.0,5571.0,5738.0,5903.0,6088.0,6088.0,6308.0,6688.0,6860.0,7056.0,7257.0,7461.0,7660.0,7861.0,8045.0,8223.0,8404.0,8586.0,8761.0,8939.0,9135.0,9317.0,9504.0,9677.0,9860.0,10045.0,10226.0,10412.0,10589.0,10772.0,10952.0,11133.0,11314.0,11500.0,11682.0,11870.0,12054.0,12229.0,12417.0,12615.0,12799.0,12998.0,13187.0,13384.0,13579.0,13767.0,17654.0,17843.0,17843.0,17843.0,18418.0,18612.0,18816.0,18816.0,19021.0,19021.0,19614.0,19811.0,20007.0,20228.0,20424.0,20649.0,20649.0,21072.0,21276.0,21501.0,21501.0,21713.0,25856.0,25856.0,26075.0,26281.0,26481.0,26658.0,26834.0,27034.0,27245.0,27453.0,27663.0,27813.0,28001.0,28124.0,28277.0,28471.0,28607.0,28788.0,28944.0,29068.0,29068.0,29405.0,29554.0,29687.0,29838.0,29976.0,30123.0,30236.0,30344.0,30470.0,30526.0
Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,6.0,6.0,6.0,10.0,12.0,16.0,17.0,19.0,25.0,32.0,35.0,46.0,50.0,54.0,69.0,80.0,100.0,109.0,112.0,127.0,131.0,144.0,153.0,166.0,179.0,189.0,196.0,206.0,215.0,225.0,233.0,244.0,253.0,269.0,278.0,293.0,314.0,324.0,340.0,358.0,378.0,397.0,407.0,428.0,445.0,463.0,479.0,493.0,509.0,525.0,546.0,562.0,574.0,592.0,613.0,630.0,652.0,682.0,705.0,727.0,750.0,776.0,803.0,822.0,853.0,890.0,939.0,969.0,1009.0,1045.0,1087.0,1145.0,1205.0,1259.0,1308.0,1372.0,1433.0,1488.0,1545.0,1592.0,1667.0,1726.0,1801.0,1864.0,1950.0,2045.0,2126.0,2237.0,2310.0,2404.0,2491.0,2654.0,2811.0,2939.0,3178.0,3274.0,3334.0,3470.0,3641.0,3777.0,3942.0,4064.0,4210.0,4359.0,4527.0,4714.0,4925.0,5119.0,5307.0,5455.0,5625.0,5814.0,6029.0,6288.0,6516.0,6736.0,6929.0,7166.0,7373.0,7688.0,7975.0,8269.0,8525.0,8777.0,9074.0,9454.0,9810.0,10105.0,10330.0,10650.0,11017.0,11315.0,11624.0,11939.0,12250.0,12540.0,12842.0,13154.0,13475.0,13837.0,14145.0,14492.0,14810.0,15097.0,15372.0,15619.0,15979.0,16183.0,16568.0,16968.0,17316.0,17612.0,17889.0,18184.0,18467.0,18766.0,19063.0,19363.0,19662.0,20050.0,20345.0,20618.0,20888.0,21156.0,21412.0,21615.0,21611.0,22053.0,22275.0,22518.0,22734.0,22924.0
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,4.0,5.0,6.0,8.0,12.0,16.0,20.0,28.0,29.0,37.0,50.0,60.0,79.0,94.0,125.0,141.0,174.0,194.0,233.0,273.0,296.0,332.0,406.0,449.0,486.0,546.0,650.0,686.0,712.0,857.0,970.0,1069.0,1221.0,1305.0,1351.0,1434.0,1569.0,1732.0,1859.0,1972.0,2061.0,2154.0,2271.0,2507.0,2704.0,2961.0,3160.0,3353.0,3465.0,3573.0,3926.0,4220.0,4477.0,4767.0,5045.0,5177.0,5332.0,5666.0,6090.0,6510.0,6989.0,7179.0,7394.0,7633.0,8134.0,8597.0,9044.0,9415.0,9779.0,9930.0,10167.0,10637.0,11729.0,12545.0,13170.0,13511.0,13699.0,14053.0,14649.0,15357.0,15944.0,16448.0,16872.0,17141.0,17580.0,18310.0,19080.0,19747.0,20394.0,20781.0,21825.0,22584.0,23377.0,24324.0,25060.0,25779.0,26381.0,26648.0,27121.0,27769.0,28510.0,29189.0,29843.0,30366.0,30639.0,31119.0,32014.0,32796.0,33526.0,34191.0,34730.0,35006.0,35491.0,36327.0,36906.0,37574.0,38310.0,38888.0,39184.0,39485.0,40400.0,41190.0,41908.0,42645.0,43374.0,43680.0,44022.0,44876.0,45361.0,46000.0,46688.0,47472.0,47746.0,48012.0,48869.0,49698.0,50517.0,51311.0,52006.0,52298.0,53003.0,53929.0,54666.0,55293.0,55908.0,56543.0,56757.0,57023.0,57774.0,58481.0,59106.0,59610.0,60254.0,60480.0,60800.0,61450.0,62076.0,62594.0,63146.0,63819.0,64158.0,64414.0,65241.0,65816.0,66329.0,66851.0,67326.0,67558.0,67781.0,68484.0,69049.0,69649.0,70183.0,70604.0,70821.0
South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,5.0,5.0,5.0,9.0,9.0,11.0,12.0,13.0,18.0,18.0,24.0,25.0,25.0,27.0,27.0,34.0,48.0,50.0,52.0,54.0,58.0,58.0,65.0,75.0,79.0,86.0,87.0,90.0,93.0,103.0,103.0,116.0,123.0,131.0,138.0,148.0,153.0,161.0,178.0,186.0,194.0,206.0,206.0,219.0,238.0,247.0,261.0,264.0,286.0,312.0,339.0,369.0,397.0,407.0,429.0,481.0,524.0,552.0,577.0,611.0,643.0,683.0,705.0,755.0,792.0,848.0,908.0,952.0,998.0,1080.0,1162.0,1210.0,1284.0,1354.0,1423.0,1480.0,1568.0,1625.0,1674.0,1737.0,1831.0,1877.0,1930.0,1991.0,2102.0,2205.0,2292.0,2340.0,2413.0,2456.0,2529.0,2657.0,2749.0,2844.0,2952.0,3026.0,3199.0,3310.0,3502.0,3602.0,3720.0,3860.0,3971.0,4079.0,4172.0,4346.0,4453.0,4669.0,4804.0,4948.0,5033.0,5173.0,5368.0,5940.0,6093.0,6343.0,6655.0,6769.0,7067.0,7257.0,7497.0,7812.0,8005.0,8153.0,8366.0,8539.0,8884.0,9298.0,9604.0,9909.0,10210.0,10408.0,10621.0,10751.0,11010.0,11270.0,11556.0,11677.0,11839.0,11982.0,12264.0,12423.0,12618.0,12843.0,12987.0,13059.0,13159.0,13308.0,13502.0,13628.0,13743.0,13981.0,14028.0,14149.0,14263.0,14389.0,14563.0,14678.0,14779.0,14889.0,15004.0,15086.0,15168.0,15265.0,15378.0,15427.0,15447.0
Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,10.0,17.0,28.0,35.0,54.0,55.0,133.0,195.0,289.0,342.0,533.0,623.0,830.0,1043.0,1375.0,1772.0,2311.0,2808.0,3647.0,4365.0,5138.0,5982.0,6803.0,7716.0,8464.0,9387.0,10348.0,11198.0,11947.0,12641.0,13341.0,14045.0,14792.0,15447.0,16081.0,16606.0,17209.0,17756.0,18056.0,18708.0,19315.0,20002.0,20043.0,20453.0,20852.0,21282.0,21717.0,22157.0,22524.0,22902.0,23190.0,23521.0,23822.0,24275.0,24543.0,24543.0,25100.0,25264.0,25428.0,25613.0,25857.0,26070.0,26299.0,26478.0,26621.0,26744.0,26920.0,27104.0,27321.0,27459.0,27563.0,27563.0,27709.0,27778.0,27888.0,27940.0,28628.0,28678.0,28752.0,26834.0,27117.0,27117.0,27119.0,27121.0,27125.0,27127.0,27127.0,27127.0,27128.0,27133.0,27134.0,27135.0,27136.0,27136.0,27136.0,27136.0,27136.0,27136.0,27136.0,27136.0,27136.0,27136.0,27136.0,27136.0,28315.0,28322.0,28323.0,28324.0,28325.0,28327.0,28330.0,28338.0,28341.0,28343.0,28346.0,28355.0,28364.0,28368.0,28385.0,28385.0,28385.0,28388.0,28392.0,28396.0,28401.0,28403.0,28403.0,28403.0,28406.0,28409.0,28413.0,28416.0,28420.0,28420.0,28420.0,28422.0,28424.0,28426.0,28429.0,28432.0,28432.0,28432.0,28434.0,28436.0,28441.0,28443.0,28445.0,28445.0,28445.0,28472.0,28498.0,28499.0,28500.0,28503.0,28503.0,28503.0,28576.0,28581.0,28579.0,28605.0,28617.0,28617.0,28617.0,28646.0,28670.0,28797.0,28813.0,28838.0,28838.0,28838.0,28872.0,28924.0,28971.0,28996.0,29011.0,29011.0,29011.0,29094.0,29152.0,29194.0,29234.0,29418.0,29418.0,29418.0,29516.0,29594.0,29628.0,29699.0,29747.0,29747.0,29747.0
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,6.0,8.0,9.0,13.0,18.0,19.0,23.0,27.0,28.0,36.0,39.0,43.0,44.0,48.0,56.0,63.0,72.0,82.0,83.0,90.0,97.0,102.0,111.0,115.0,123.0,129.0,132.0,136.0,147.0,152.0,165.0,176.0,185.0,192.0,197.0,207.0,214.0,218.0,225.0,237.0,246.0,260.0,264.0,273.0,282.0,293.0,300.0,305.0,314.0,319.0,329.0,353.0,356.0,363.0,373.0,382.0,393.0,403.0,416.0,433.0,445.0,452.0,467.0,484.0,500.0,508.0,520.0,528.0,539.0,556.0,569.0,583.0,608.0,632.0,648.0,664.0,693.0,717.0,735.0,765.0,785.0,815.0,833.0,854.0,878.0,913.0,948.0,979.0,992.0,1011.0,1043.0,1078.0,1116.0,1150.0,1184.0,1207.0,1232.0,1280.0,1307.0,1351.0,1385.0,1437.0,1481.0,1507.0,1582.0,1644.0,1694.0,1720.0,1774.0,1810.0,1845.0,1903.0,1968.0,2050.0,2112.0,2178.0,2220.0,2260.0,2373.0,2490.0,2588.0,2702.0,2807.0,2893.0,2939.0,3059.0,3179.0,3288.0,3441.0,3543.0,3596.0,3648.0,3813.0,3979.0,4106.0,4251.0,4411.0,4523.0,4606.0,4764.0,5004.0,5213.0,5362.0,5527.0,5637.0,5703.0,5814.0,6048.0,6330.0,6517.0,6730.0,6848.0,6985.0,7366.0,7563.0,7839.0,8050.0,8271.0,8353.0,8457.0,8660.0,8919.0,9118.0,9361.0,9623.0,9739.0,9859.0,10129.0,10405.0,10658.0,10907.0,11148.0,11263.0,11352.0
